customer_id,product_id
00077e7e-583f-45a1-8cbc-77f3aca80f45,bd62152e-6f18-4dd4-a44b-2095dc0b5cb7
00077e7e-583f-45a1-8cbc-77f3aca80f45,93e9f5f2-1f71-48e0-8a70-f13c9561cd41
00077e7e-583f-45a1-8cbc-77f3aca80f45,26310a13-169a-41b1-8e74-a4a8a354be1f
00077e7e-583f-45a1-8cbc-77f3aca80f45,45756705-3543-4642-a000-2af4e85aa552
00077e7e-583f-45a1-8cbc-77f3aca80f45,da6a5257-2168-4ef8-8e89-37a35ed2b8ab
00077e7e-583f-45a1-8cbc-77f3aca80f45,5f5781b7-1761-4f92-970e-7f2283adeeac
00077e7e-583f-45a1-8cbc-77f3aca80f45,f965fa3a-ee44-425d-bc33-737e29cc5685
00077e7e-583f-45a1-8cbc-77f3aca80f45,a24ad998-d67b-4041-a9b4-40fc37d11b29
00077e7e-583f-45a1-8cbc-77f3aca80f45,6a8e3f66-d282-45d3-806b-c450c56a0124
00077e7e-583f-45a1-8cbc-77f3aca80f45,a7998640-835d-4a65-8fbb-7cbb632561d1
0036fbad-4a20-47f7-a682-aebb275456dc,3a246c67-751d-4082-9d2c-903620112a64
0036fbad-4a20-47f7-a682-aebb275456dc,24e8d758-f36e-4a46-a3f7-f580c9d8c5e8
0036fbad-4a20-47f7-a682-aebb275456dc,29d63b9b-c948-4df6-a76a-9ff5e5922003
0036fbad-4a20-47f7-a682-aebb275456dc,91a9de35-14c3-4623-b516-24d5fe4c7759
0036fbad-4a20-47f7-a682-aebb275456dc,23f6a87c-54cb-4ceb-b35f-32ee29903af6
0036fbad-4a20-47f7-a682-aebb275456dc,daeac09b-6a06-4abd-8ef8-83d9cd3f0bbb
0036fbad-4a20-47f7-a682-aebb275456dc,a1157781-f2c3-4466-827f-da713727a802
0036fbad-4a20-47f7-a682-aebb275456dc,e5df129d-0477-4408-8ce4-468c6df1954e
0036fbad-4a20-47f7-a682-aebb275456dc,3abe63bf-07c8-4bcb-817f-f22b46e6ebc5
0036fbad-4a20-47f7-a682-aebb275456dc,65b07a7a-75dc-4e27-851d-17f674ea1364
00de3b37-057f-4ade-97f9-3f4f7d869258,31ae211d-57a9-4bfa-b95f-40776af03c3f
00de3b37-057f-4ade-97f9-3f4f7d869258,0f943312-7141-4606-abfa-81fd63a5498f
00de3b37-057f-4ade-97f9-3f4f7d869258,a8f0292d-5fca-42b9-b0d3-b38e7efa416b
00de3b37-057f-4ade-97f9-3f4f7d869258,e33cea18-ee3f-4e37-83a7-1d88c54d83b8
